"Entitlement Name","Value","Deliverable","Customer Journey Category","Delivered by","Outcome","Delivery Details","Pre-Requisites","Not Included","Delivery Plan LINK"
"8 hrs Private Training + Consult","3","Course","User Growth","Trainer","8 hours of private instructor-led training from the Alteryx Course Catalog","The customer will receive 8 hours of private training from the Alteryx catalog, with a curriculum developed to meet their specific needs.","Training Consultation (included in cost)",,"0"
"8 hrs Private Training + Consult (Cobranded, Tailored)","5","Course","User Expertise","Trainer",,,"Training Consultation (included in cost)",,"0"
"8 hrs Private Training + Consult (Cobranded)","4","Course","Value Realization","Trainer",,"The customer will receive 8 hours of private training from the Alteryx catalog, with a curriculum developed to meet their specific needs. Rhw customer will have their branding added to their private training slides and workflows.","Training Consultation (included in cost)",,"0"
"90 min Custom Training Course","5","Course","User Growth","Trainer","The outcomes is one delivered customer course which will be recorded and distributed.","Development of one custom 1.5-hour course with included hands-on case study and delivery of one recorded session. Future delivery of this course can be included in Private Training plans. The development process is iterative and incorporates customer feedback on drafts and revisions, and delivery time will be variable.","N/A","One session only.","0"
"90 min Learning Lab","1","Course","User Growth","Trainer","Receive 90 minutes of tailored training based on a customer-provided set of outcomes.","One 1.5-hour ad-hoc outcome-driven learning event. This session is intended to be tailored to address knowledge gaps specific to the customer's use case. Offered services are Use Case Discussions, Weekly Challenge Reviews, Tool Spotlights, and Detailed Workflow Breakdowns. Includes a training consultation to determine customer needs.","N/A",,"0"
"Advanced Workflow Optimization","20","Working Session","Value Realization","Analytics Consultant","Provides an in-depth review and enhancement of a single complex workflow built with Alteryx Designer’s advanced capabilities.","Review and optimization of one advanced workflow containing:
o	Intelligence Suite tools
o	Machine Learning tools
o	Analytic Apps
o	All tools included in the Core Workflow Optimization engagement
Collaboration with customer team during optimization
Documentation and enablement sessions for ongoing improvement","Requirements gathering pre-work session with CSM or Consultant to define needed workflow change prior to working sessions","•	Multiple workflow reviews or simultaneous optimization projects
•	Macros nested within macros or large-scale macro re-engineering
•	Development of new models or analytic apps from scratch
•	Non-Alteryx or unsupported tool integrations
•	Continuous performance monitoring or managed optimization services post-engagement","0"
"Advisory Services Starter Pack","10","Roadmaps and Report","Value Realization","Advisory Services","Customers achieve faster ROI through clearer success metrics, deeper platform adoption, and an executive-ready roadmap aligned to business outcomes.
This reduces implementation risk while accelerating upgrades, improving governance, and strengthening Alteryx’s position as a long-term strategic partner.","Time to Value Analysis, Transition Management, Alteryx One Assessment","See individual entitlements for each Pre-requisite","See individual entitlements for each exclusion","0"
"Advisory Services: Alteryx One Assessment","5","Report","Value Realization","Advisory Services","Faster upgrades and cloud readiness
Reduced manual effort and risk associated with cloud platforms
Improved governance and compliance
Accelerated AlteryxOne adoption","Discovery and Stakeholder Alignment
Automated Workflow Scanning
AI Powered Analysis and Documentation
Executive Readout with recommendations","Alteryx version 23.2 & Alteryx One environment available and accessible.

Valid user licenses and admin permissions for environment configuration and data connections.

Network access to Alteryx cloud services and any required external","Changes or updates to current Alteryx One environment Examples of Features Out-of-Scope
Any automation or technical evaluation that does not concern business value.
e.g. Automated migration of workflows between environments and Alteryx Cloud.
e.g. Automation of any Alteryx Server/Environment tasks. This may include restart of the Alteryx Server, migration of users, user management.
Any output regarding secrets or details of secrets.
e.g. DCM secrets.
Reimplementation of any features already provided by Alteryx “Server Health Check” utility.
Anything else not having to do with the business value that the workflows provide to a customer.","0"
"Advisory Services: Time to Value Analysis","3","Roadmap","Value Realization","Advisory Services","Clear definition of success; Faster realization of ROI.
Increased platform adoption
Executive-ready roadmap tied to business outcomes
Stronger perception of Alteryx as a strategic partner","Define Value: Align on what “success” and quick wins look like
Identify Bottlenecks: Surface adoption, process, AI or governance blockers
Analyze Root Causes: Understand why progress is slow
Prioritize Actions: Rank solutions by impact and feasibility","Executive participation - 2 week lead time to schedule","Architecture Review","0"
"Advisory Services: Transition Management","4","Roadmap","Value Realization","Advisory Services","Deeper adoption and engagement
Reduced implementation and adoption risk
Clear next steps for sustained success","Discovery and Stakeholder Alignment
Change Impact and Readiness Assessment
Adoption and Communication Plan
Executive Readout and Communications Strategy","Executive participation - 2 week lead time to schedule","N/A","0"
"AI Readiness: Alteryx Copilot Workflow Optimization","5","Working Session","Automation","Analytics Consultant","This engagement equips workflow developers to leverage Alteryx Copilot for faster, smarter workflow creation and governance for up to 2 workflows.","Delivery Includes: Discovery & Use Case Definition, Copilot Environment Validation & Set Up, Guided Workflow Optimization with Copilot, Enablement & Best Practices Review","•	Access to Alteryx One Designer Cloud with Copilot enabled.
•	Appropriate user permissions to build and edit workflows.
•	At least two candidate workflows identified for optimization.
•	Stable internet and workspace connectivity for Copilot operations.
•	Availability of a workflow owner and analytics lead for review and validation.","•	Creation of new workflows from scratch.
•	Integration with non-Alteryx AI or third-party systems.
•	Continuous Copilot monitoring or managed services.
•	Multi-environment or enterprise-wide rollout.","0"
"AI Readiness: Auto Insights + Copilot Collaboration Workshop","5","Working Session","Automation","Analytics Consultant","Combine Auto Insights and Alteryx Copilot to create an end-to-end, AI-assisted analytics process—from workflow creation to automated insight storytelling.","Delivery Includes: Discovery & Use Case Definition, Workflow creation with Co-Pilot, Auto Insights Story configuration, Collaboration Enablement & Governance","Alteryx Designer 24.1+, Alteryx Server, or Alteryx One environment available and accessible.

Valid user licenses and admin permissions for environment configuration and data connections.

Network access to Alteryx cloud services and any required external APIs.","Data Engineering: Large-scale data cleanup, restructuring, or upstream system fixes outside Auto Insights.

Platform Setup: Full environment deployment, user provisioning, or network configuration.

Custom Development: Building predictive models, dashboards, or integrations with non-Alteryx tools.

Ongoing Support: Continuous monitoring, maintenance, or enterprise-wide rollout beyond the defined use case.","0"
"AI Readiness: Auto Insights Story Enablement Session","4","Working Session","Automation","Analytics Consultant","By the end of the engagement, the customer will have a fully configured Auto Insights story and a repeatable framework for scaling insights across teams.","Delivery Includes: Discovery & Use Case Definition, Data connection & preparation, Story creation & Insight generation, Enablement and Knowledge transfer","Alteryx Designer 24.1+, Alteryx Server, or Alteryx One environment available and accessible.

Valid user licenses and admin permissions for environment configuration and data connections.

Network access to Alteryx cloud services and any required external APIs.","Data Engineering: Large-scale data cleanup, restructuring, or upstream system fixes outside Auto Insights.

Platform Setup: Full environment deployment, user provisioning, or network configuration.

Custom Development: Building predictive models, dashboards, or integrations with non-Alteryx tools.

Ongoing Support: Continuous monitoring, maintenance, or enterprise-wide rollout beyond the defined use case.","0"
"AI Readiness: Auto Insights Use Case","5","Working Session","Automation","Analytics Consultant","Customer gains a fully developed, data-driven story and the skills to scale insights generation across additional use cases with minimal manual analysis.","Delivery includes: Discovery and Use Case Definition, Data Preparation and Integration, Auto Insights Enablement and Explortation, Story Creation and Collaboration, Knowledge Transfer and Next Steps","•	Platform Access:
o	Alteryx One environment with Designer Cloud and Copilot enabled.
o	User accounts with build/edit permissions and Copilot access.
•	Workflow Readiness:
o	Up to two existing workflows selected for optimization.
o	Source data connections validated and accessible.
•	Environment & Connectivity:
o	Stable network access for cloud-based AI assistance.
o	Copilot permissions verified by platform admin.
•	Team Participation:
o	Workflow owner or developer available for guided sessions.
o	IT or admin resource to validate environment setup.","•	Creation of new workflows from scratch.
•	Integration with non-Alteryx AI or third-party systems.
•	Multi-environment or enterprise-wide Copilot rollout.
•	Continuous monitoring, managed services, or support post-engagement.
•	Development of predictive or ML models outside workflow optimization scope.","0"
"AI Readiness: Multiple LLM Integrations","4","Install","Automation",,"Measure the impact the workflow has on the customers business process.",,"•	Alteryx Environment: Designer 24.1+ or Alteryx Server/One with API connectivity enabled.
•	Network Access: Outbound HTTPS access to external LLM endpoints (e.g., OpenAI, Azure, Anthropic).
•	LLM Credentials: Active API keys/tokens for each LLM provider with proper permissions.",,"0"
"AI Readiness: Single LLM Integration","2","Install","Automation","Analytics Consultant","By the end of the session, your team will have a validated, working AI-enabled workflow, along with knowledge of how to scale similar use cases across the organization.","•	One existing Alteryx workflow enhanced with a single Large Language Model integration.
•	Configuration of credentials, prompt, and connection validation.
•	Workflow testing and knowledge transfer session.","•	Alteryx Environment: Designer 24.1+ or Server/One with API connectivity enabled.
•	Network Access: Outbound HTTPS access to one external LLM endpoint (e.g., OpenAI or Azure OpenAI).
•	LLM Credentials: Active API account with valid key/token and sufficient usage quota.
•	Data Readiness: Clean, representative dataset for workflow testing (no PII or sensitive data).","•	Multiple LLM integrations or full-scale AI automation pipelines.
•	Custom application development, retraining of LLMs, or fine-tuning models.
•	Ongoing AI operations or monitoring services post-engagement.","0"
"Alteryx Designer Advanced Certification Exam Preparation","2","Course","User Growth","Trainer","List the tools, topics, and requirements of the Alteryx Designer Advanced Exam. 

Identify the best practices and techniques to prepare for and take the exam.","Learn what to expect on the Alteryx Designer Advanced Certification exam and which resources are available to help you prepare. You will get an overview of the Designer tools covered; the types of questions that appear in the Advanced exam; tips and tricks; and also work through some sample questions.","A licensed copy of Alteryx Designer with the Data Investigation tool palette enabled. 

General Alteryx knowledge and proficiency in data preparation, transformation, and manipulation is essential.",,"0"
"Alteryx Designer Core Certification Exam Preparation","2","Course","User Growth","Trainer","List the tools, topics, and requirements of the Alteryx Designer Core exam. 

Identify the best practices and techniques to prepare for and take the exam.","Learn what to expect on the Alteryx Designer Core Certification exam and which resources are available to help you prepare. You will get an overview of the Designer tools covered; the types of questions that appear in the exam; tips and tricks; and then work through some sample questions.","A licensed copy of Alteryx Designer with the Data Investigation tool palette enabled. 

General Alteryx knowledge and proficiency in data preparation, transformation, and manipulation is essential. 

Completion of the Explore Data Quality and Scope with Data Investigation Tools course is recommended.",,"0"
"Alteryx One Accelerator Assessment","5","Report","Automation","Analytics Consultant","Delivers a complete, audit-ready assessment of the workflow environment, with clear recommendations for upgrades, governance, and cloud readiness. The outcome is increased confidence in modernization, reduced risks, and accelerated migration planning—unlocking additional services opportunities and faster adoption of new features.","-Executive Summary Report (consolidated PDF) with prioritized risks and recommendations.
-Risk & Compliance Report (filterable, actionable Excel) for governance and audit.
-Workflow Assessment Report (per-workflow PDF) with automated documentation and compatibility insights
-Cloud Compability Report","Customer has a version of Alteryx deployed with cloud capability to access LLM tools.","Workflow Optimization, Server Optimization","0"
"Alteryx One License Migration","5","Working Session","Automation","Analytics Consultant","Supports customers in migrating from legacy licensing (Designer, Server, or Gallery) to Alteryx One Licensing. The engagement ensures a smooth, compliant transition to the new unified licensing model, with minimal disruption to users and business processes.
It combines technical guidance, planning, and enablement to help customers migrate efficiently, configure new license models, and validate successful adoption.","Delivery includes: Discovery and Assessment on current license environment and usage; Environment Preparation assisting with SSO/SCIM configuration; License Migration Execution performing bulk migrations; Knowledge Transfer & Documentation","Purchase of Alteryx One; License Audit",,"0"
"Alteryx Server Administration Foundations","2","Course","User Growth","Trainer","Navigate the Server interface for administrators. 

Identify user roles, permissions, and settings for Server. 

Manage Server users, workflows, schedules, credentials, and data connections.","This course will teach you the fundamentals of how to perform the tasks of an Alteryx Server administrator. 

Throughout this course, you will learn about the roles and permissions of Alteryx Server users and how to manage Server use. You will explore the Server interface and discover how to manage workflows, schedules, credentials, and data connections.","A licensed copy of Alteryx Designer. 

Alteryx Intelligence Suite Installation.",,"0"
"Alteryx Value Intelligence Engagement","10","Report","Value Realization","Analytics Consultant","Customers gain a living, account-level view of value by activating Customer Managed Telemetry (CMT), automating insight generation, and linking outcomes to a dynamic repository of use cases—clearly showing where impact exists today and where expansion opportunities lie.","
- Turn on Customer Managed Telemetry & direct data to a structured DB
- Develop workflow that turns data into insights
- Connects CMT data into a solution repository that tells value stories (akin to use cases) - set custom parameters to say ""if a workflow meets these criteria and does NOT exist in the repository, automatically prompt user with a survey'. Set this up so it self updates on a cadence
- Support these automated efforts with manual interviews (current offering)
- From these efforts, trigger a holistic, account-level value deliverable - aggregate impact, highlights of key stories, analytics around where impact is being felt","•	Access to Customer Managed Telemetry (CMT) and underlying data storage
•	Alteryx Designer or Alteryx One environment available
•	Permissions to connect telemetry data and write outputs
•	Defined user access for repositories and survey automation
•	Availability of key business and analytics stakeholders for validation","•	Enterprise-level telemetry architecture redesign.
•	Multi-environment setup or multi-account automation.
•	Custom dashboard or visualization development beyond provided outputs.
•	Ongoing managed value tracking or repository maintenance post-engagement.","0"
"Apply Advanced Data Preparation Techniques with Multi-Tools","2","Course","User Growth","Trainer","Parse messy data with the Regular Expression (RegEx) tool. 

Efficiently process data vertically and horizontally with Multi-Tools.","Take your data preparation skills to the next level in this course for experienced users. Learn how to streamline complex processes using the Multi-Field Formula, Multi-Row Formula, and Join Multiple tools. Through a practical, real-world scenario, you will conquer a challenging dataset and solve critical business questions. Discover advanced techniques that will revolutionize your workflow efficiency!","A licensed copy of Alteryx Designer. 

An Alteryx Community account is required.",,"0"
"Auto Insights Use Case Working Session","5","Working Session","Value Realization","Analytics Consultant","The customer gains the skills, confidence, and framework to apply Auto Insights for continuous value—empowering data-driven decisions, reducing analysis effort, and accelerating time to insight.","Delivery includes: Discovery and Use Case Definition, Data Preparation and Integration, Auto Insights Enablement and Explortation, Story Creation and Collaboration","Platform access and environment setup; User Access; Authentication and Security; Data readiness","Workflow development for feeding the data to Auto Insights will not include complex logic development that may require more hours. This workflow development will be on guidelines to prepare data to feed into Auto Insights.","0"
"Automate Data Validation in Your Workflows","2","Course","User Growth","Trainer","Validate data dynamically in workflows by using automated tracking and testing checkpoints.","Do you build large workflows that join multiple datasets together? Learn how to insert checkpoints in your workflows that automate tracking and testing to ensure your data is accurate, clean, and easy to troubleshoot.","A license of Alteryx Server is recommended.",,"0"
"Automate Processes with Iterative Macros","2","Course","User Growth","Trainer","Create a macro that iterates a process until the data meets your desired conditions.","Ready to take your macro-building skills to the next level with automation? This advanced course focuses on iterative macros, allowing you to run a process repeatedly until the desired outcome is achieved. Having prior knowledge of standard or batch macros is highly recommended to enhance your learning experience in this course.","A licensed copy of Alteryx Auto Insights is required.",,"0"
"Balance a Modern Governance Framework","2","Course","User Growth","Trainer","Apply governance best practices to effectively manage, document, and share workflows in Alteryx Designer.","How can organizations best govern their analytics workflows? This course introduces a modern, adaptable governance framework designed to strike the right balance between flexibility and control. You’ll learn how to maintain the agility of Alteryx while applying structured governance for sensitive data and repeatable processes.","Knowledge of how to set up connections to databases or other data sources is recommended. 

Knowledge of Alteryx Server Gallery is recommended.",,"0"
"Blend Data from Multiple Datasets","2","Course","User Growth","Trainer","Use tools from the Join palette to blend data from multiple inputs, append records of data, and replace string values.","Do you need to combine different datasets to get the results you need? This beginner course teaches you how to blend multiple data inputs using tools in the Join palette—Union, Join, Append, and Find Replace—helping you uncover meaningful insights.","A licensed copy of Designer Cloud.",,"0"
"Build Chained Apps","2","Course","User Growth","Trainer","Create and chain analytic apps together to display a dynamic interface that updates results based on user selections.","Sometimes a workflow needs the results from another workflow before it can run. In this course, discover how easy it is to chain apps so that when one finishes, the next app in the chain starts!","A licensed copy of Alteryx Designer.",,"0"
"Build Tailored Reporting Processes with Batch Reporting","2","Course","User Growth","Trainer","Create a batch report from a single workflow. 

Include titles, maps, graphs, and tables in batch reports.","Do you need to create numerous customized reports and distribute them to multiple recipients? In this intermediate course, learn how to use batch reporting to make your Designer Desktop reports dynamic so they can be created and distributed automatically.","A licensed copy of Alteryx Designer.",,"0"
"Build Your First Classification Model in Machine Learning","2","Course","User Growth","Trainer","Build a classification model with the Assisted Modeling tool in Alteryx Intelligence Suite.","Join this hands-on course to build a classification model from scratch. Discover how to design effective features and evaluate model performance using machine learning tools within Alteryx Intelligence Suite. Having a foundational understanding of supervised machine learning methods is highly recommended prior to taking this course.","A licensed copy of Alteryx Designer.",,"0"
"Build Your First Dynamic Workflows","2","Course","User Growth","Trainer","Describe the difference between static and dynamic workflows. 

Transform static workflows into dynamic ones using specific tools or by adjusting the settings of commonly used tools.","Learn to create dynamic workflows that adapt to changing scenarios and future-proof your processes against errors. This introductory course provides theoretical insights and practical examples to enhance the flexibility of your workflows.","A licensed copy of Alteryx Designer",,"0"
"Build Your First Macro","2","Course","User Growth","Trainer","Build a standard macro that automates workflow processes for greater efficiency. 

Share a macro with other users.","Macros might be confusing at first, but once you learn to build them, they can save you time and enhance your data analytics skills. This beginner course is designed for you if you have little to no experience with macros but are well-versed in Designer Desktop or Core Certified. Discover how simple it is to create and share your first standard macro.","A licensed copy of Alteryx Designer 

Proficiency with the Interface tool palette and creating Macros in Designer",,"0"
"Cloud Migration Assessment (AACP)","2","Working Session","Governance","Analytics Consultant","Review of customer’s current Alteryx deployment and assessment of suitability and migration path to Alteryx Analytics Cloud Platform (AACP), including percentage of workflows and connections that can migrate successfully. Covers Trifacta Self-Managed Cloud (SMC), Alteryx Designer, and/or Alteryx Server migration to AACP. Purpose is to enable the Customer to understand migration options and the suitability for them for their current environment(s).","Working session with Customer to understand current environment(s) 
Performing a migration assessment 
Provide a report outlining the results of the migration assessment","Successfully installed/deployed environments. Technical team members with knowledge of the deployment. 
Required data related to the environment and usage must be available and able to be provided.","Any hands-on activities performed by Alteryx resources 
This will not cover any actual migrations.","0"
"CMT Reporting Enhancement","3","Working Session","Governance","Analytics Consultant","A client-specific distillation of CMT log data into actionable information supporting their platform governance journey.","Working session to guide customer through table schemas and guide to dimensions based on customer needs","Customer needs to have CMT deployed; Run enterprise CMT workflow. Prereq questioning for customer: What does this data not tell you? What does your on prem designer usage? (Tableau output)","Not ""hands-on"" the enhancement","0"
"Conditional Statements Using the Formula Tool","2","Course","User Growth","Trainer","Identify different types of conditional statements: basic or multi-conditional. 

Manipulate data using conditional statement logic. 

Structure different types of conditional statements in the Formula tool’s Expression Editor.","This course focuses on streamlining the data preparation process in Alteryx Designer. During training, you will learn how to identify different types of conditional statements and manipulate data using conditional statement logic. You will also learn how to structure different types of conditional statements in the Formula tool’s Expression Editor.","A licensed copy of Alteryx Designer 

Predictive tools installation",,"0"
"Connect SharePoint in single DCM connection via Builtin/AD Auth","3","Install","Architecture & Integration","Analytics Consultant","Authentication to SP, Admin consent guidance, shared connection (w/ one team), and demonstration of capability

*Could require interfacing with Entra admin + database administrator","Workflow validation and optimization for performance and accuracy","IF ""built in"" / ootb ""active directory"" authentication dropdown directs user to admin consent screen - they will need to interface with AD/Entra admins, and potentially create app:

https://help.alteryx.com/current/en/designer/data-sources/set-up-custom-api-application/set-up-microsoft-azure-api-application/set-up-azure-api-application-with-user-s-credentials.html#register-app-6947476","Large-scale workflow rebuilds or re-engineering of data architectures","0"
"Connection Management Advisory (OAuth / CDWs)","2","Working Session","Architecture & Integration","Solution Architect","Customer provided with a plan for how to deliver data connections securely to their users, tailored to their security requirements.","This advisory engagement helps customers address a common challenge when using OAuth-authenticated cloud data warehouse (CDW) connections, such as Snowflake, that cannot be easily shared through traditional Server Data Connections or DCM.
Alteryx Services works with customer technical and security stakeholders to assess the current state, identify constraints, and design a connection management strategy that enables secure access for users while preserving governance, auditability, and collaboration.
By the end of the engagement, customers receive a clear, actionable plan for delivering data access securely across teams using Alteryx.","•	Use of OAuth-authenticated CDW connections (e.g., Snowflake).
•	Access to Alteryx Server or Alteryx One environment for review.
•	Availability of IT/security stakeholders to discuss authentication policies.
•	Understanding of current data access and collaboration requirements.","•	Hands-on configuration or implementation of connections.
•	Creation of service accounts or identity provider changes.
•	Workflow development or modification.
•	Resolution of product defects or Support tickets.","0"
"Core Workflow Optimization","10","Working Session","Value Realization","Analytics Consultant","This engagement focuses on enhancing data preparation, blending, and transformation processes within Alteryx Designer. Using only the Alteryx Core toolset, this engagement helps customers validate and optimize up to 3 core workflows.","•	Connection to one or more existing data sources
•	Data preparation, blending, and transformation using Alteryx Favorites tools
•	Workflow validation and optimization for performance and accuracy
•	Knowledge transfer and documentation for ongoing optimization","Requirements gathering pre-work session with CSM or Consultant to define needed workflow change prior to working sessions","•	Integration with non-Alteryx or unsupported data platforms
•	Use of advanced or non-Core tools (Predictive, Intelligence Suite, Python/R tools)
•	Large-scale workflow rebuilds or re-engineering of data architectures
•	Continuous performance monitoring or managed optimization post-engagement","0"
"Create Your First Analytic App","2","Course","User Growth","Trainer","Transform a workflow into an analytic app. 

Customize an app interface. 

Debug an app to fix potential errors.","Need to share information but not everyone in your organization uses Designer? In this introductory course, learn how to transform your workflow into an analytic application to share information across your organization.","A licensed copy of Alteryx Designer 

Alteryx Intelligence Suite Installation",,"0"
"Create Your First Report","2","Course","User Growth","Trainer","Prepare data for use in Reporting tools. 

Create data snippets. 

Join and arrange snippets horizontally and vertically. 

Output a dynamic PDF report.","Turn your data into compelling stories with Designer! This introductory course dives into the powerful reporting tools in Designer, showing you how to create static visual reports that automate the sharing of charts, tables, and maps. If you are familiar with Designer, this hands-on course will bridge the gap between data preparation and impactful reporting. Unlock the potential of these tools to streamline your reporting process and impress your audience with polished, automated results!","A licensed copy of Alteryx Designer.",,"0"
"CSM Language Mediation for Professional Services (Not English native speakers)","2","Working Session –","Value Realization","CSM","The CSM participates in selected Professional Services sessions to provide language and cultural mediation.  Optional support in aligning follow-up notes, clarifications, and customer communication.","Participation of a CSM in selected Professional Services sessions.

CSM acts as a language/cultural facilitator, helping customers fully understand deliverables and key decisions.

CSM provides alignment notes or clarifications after the session if needed.","Customer must have Professional Services tokens available.

Entitlement is limited to Professional Services engagements where language/cultural mediation is required.","Simultaneous translation services.

Technical delivery or ownership of Professional Services work (remains with PS team).

Unlimited CSM participation—engagement is limited to predefined critical sessions only.","0"
"Custom Workflow Optimization","0","Working Session","Value Realization","Analytics Consultant","Provides a structured approach to optimization work and workflow issues in a time-bound engagement","Optimization of up to 5 workflows (mix of Core + Advanced), with room to expand.
Tools: Core Favorites, Intelligence Suite, Machine Learning, Analytic Apps, In-Database, Predictive, Spatial, API steps.
Collaboration sessions, benchmarking, and comprehensive documentation.","Requirements gathering pre-work session with CSM or Consultant to define needed workflow change prior to working sessions","•	New workflow creation or full re-engineering of legacy architectures.
•	Macros nested within macros or macro architecture redesign.
•	Integrations with non-Alteryx/unsupported third-party systems.
•	Ongoing managed services or continuous monitoring post-engagement (can be added separately).","0"
"Customer Managed Telemetry","5","Working Session","Governance","Analytics Consultant","Initial discovery of the customer environment(s) and recommendations on next steps for the customer to implement customer-managed telemetry (CMT). CMT can improve workflow development, highlight best practices, uncover usage patterns.","Alteryx Consultant will guide the Customer on required changes and scripting to begin gathering CMT-related information.  Advise Customer on implementation in their environment, as well as best practices to capture, archive, and present via dashboard","Technical team members with batch scripting and dashboard development capabilities","Alteryx will not perform the complete installation on behalf of the customer, this is for initial implementation guidance. 
Alteryx will only advise the Customer; Customer is responsible for capture and archiving of files, and development of any CMT dashboards. 
This does not include unsupported environment versions and configuration.","0"
"DCM - Advanced Connections (Requires: Oauth, Cert / Key, external parties)","5","Install","Architecture & Integration","Analytics Consultant","Connect up to 3 token‑based authentication DCM connection for your cloud data sources—aligned with Okta/Entra POC— and provided a plan to securely distribute access to multiple teams. Includes guidance on a connection handling rule for a single service account / principal.","Knowledge transfer and documentation for ongoing optimization","Brings Okta/Entra POC or viewer status to engagement | Has identified IDP role w/ access to grant admin consent (privileged role administrator) |Has already set up resource application in Entra/Okta","Continuous performance monitoring or managed optimization post-engagement","0"
"DCM - Basic Connection: Initial Setup and Strategy","2","Working Session","Architecture & Integration","Analytics Consultant","Single DCM connection / authentication is operational in a single Gallery, with two DCM profile permissions configured, system settings validated, and a collaboration/execution diagram delivered alongside a live demo.","Deployment of fully operational DCM (checklist): DCM demo delivered | Established one connection and authentication  | Gave over-the-shoulder guidance on permissions for DCM ""Developers"" of this connection |Limited to connecting/sharing on 1 Gallery only | Consulted on single Gallery's System Settings | Included diagram of one connection's collaboration / execution strategy"," Basic understanding of DCM (Academy or Private Training - Intro to DCM for multi server envmts) |
Data connection identified and shared with PS | DSN connection strings provided to verify parameters fit into the data sources |
On version that supports DCM (24.1+)","Connections outside scope of 1 identified connection require Connection Quickstart | For any configuration with IDP, must use Connection Advisory or Quickstart | Demo limited to 3 potential data sources | Will not provide API workflows on changing Gallery profile permissions at scale","0"
"DCM - Gallery Setup + Configuration for Admins","3","Working Session","User Expertise","Solution Architect","Admins leave with a selected DCM sharing model, a roles/permissions persona map, a working Concurrent Sharing/Connection handling flow for Server executions across 1–2 environments, and live demos of synchronization mgmt (Create/Edit restrictions vs. “One way/No Sync”). Also includes API best practices like adjustment of profile permissions at scale.","Configuration of credentials, prompt, and connection validation.","Network Access: Outbound HTTPS access to one external LLM endpoint (e.g., OpenAI or Azure OpenAI).","Connection handling / promotion guidance between max of 3 envmts | ""Failed to Authenticate"" Troubleshooting for Connection Handling | Hands-on assistance with script for user creation","0"
"DCM - Intermediate Connections (Authentication configured within Alteryx)","4","Install","Architecture & Integration","Analytics Consultant","Connect/Convert up to 3 data sources from Server Connections to DCM for a single user, including customized documentation so same DCMs can be re‑created in other Gallery/Teams running the same Server version.","Consultant will help establish up to 3 successful data connections for a single customer user | Connections can be re-created in another Gallery as long as same version | Will also provide connection documentation, including Alteryx DCM configurations end users will need to connect to 3 data sources","Customer has identified and share DSNs/parameters of up to 3 Data Sources | Has access to credentials in the systems (e.g., SQL login, SFDC token) | Limited to configuration assistance of 1 OAuth application | Has opened firewall rules themselves for the individual connecting | Has DBA present to configure/locate data source configurations","Data source configuration (i.e. cdw architecture / sharepoint lists settings) |DCMs for multiple servers of one data source | Config of connections on different versions of Alteryx Galleries | API configuration/custom connector development","0"
