"Entitlement Name","Value","Deliverable","Customer Journey Category","Delivered by","Outcome","Delivery Details","Pre-Requisites","Not Included","Delivery Plan LINK"
"DCM - Security Best Practices and Advisory","2","Working Session","Architecture & Integration","Analytics Consultant","DCM connection is approved by IT and executing workflows in a production envmt: includes a cross‑stakeholder InfoSec review, and a two part walkthrough of IDP configuration + demo of how authentications (OAuth / API Applications) mesh with connection sharing features in Alteryx Gallery (CEFD session included)","Consultation on DCM's fit with requirements of InfoSec | Engagement w/ Ayx Admin, IDP & IT Stakeholders | Demo of Delegated vs. Application apis | Combines practical Quickstart w/ Server advisory | Concludes w/ IT approved DCM connection executing WFs in Prod envmt (CEFD included)","Is on 24.1+ version of Alteryx (Server + Designer) | Has reviewed different DCM Governance Models | Is engaged w/ InfoSec, IT, IDP (Privileged Role Administrator) | Can connect/save Workflows to Prod envmt","Setting up/configuring more than 1 Connection (which includes connection handling and 2 authentications - SP/User) | Any network / security related configurations.","0"
"Delivery of Standalone Catalog Course","2","Course","User Growth","Trainer","Receive delivery of one course from the training catalog.","Delivery of any one training course listed in the Private Course Catalog with a duration of 2 hours or less.","N/A",,"0"
"Designer Cloud Foundations","2","Course","User Growth","Trainer","Build a workflow in Designer Cloud that analyzes data across multiple sources. 

Answer specific stakeholder business questions based on your analysis.","Take the next step in your cloud analytics journey! Join this half-day, hands-on course to develop essential skills for preparing and analyzing data to solve real business problems using Alteryx Designer Cloud. Along the way, you will build a workflow using some of the most commonly used tools and visualize your results in real time with the Interactive Results Grid. Perfect for advancing your Designer Cloud expertise!","A licensed copy of Designer Cloud 

A basic understanding of Designer Cloud",,"0"
"Designer Desktop Foundations","2","Course","User Growth","Trainer","Using all the tools from the Favorites category in Designer, build a workflow that answers business questions with data.","Ready to dive into Alteryx Designer Desktop? If you are a beginner or have minimal experience with Designer, join this half-day, hands-on course that will guide you step-by-step as you build a robust workflow and master the essential tools from the Favorites category. By the end of the course, you will walk away with the confidence and skills to create your own data solutions and tackle real-world business questions. Come discover the power of Alteryx Designer and kick-start your journey in data analytics.","A licensed copy of Alteryx Designer is required. 

A basic understanding of Designer is required.",,"0"
"Designer Desktop Tips and Tricks","2","Course","User Growth","Trainer","Build and test workflows more efficiently. 

Explore new tools and features. 

Find hidden Easter eggs.","Supercharge your Designer Desktop workflow! This course delivers over a dozen quick, standalone tips to save time on repetitive tasks, unlock hidden features, and leverage new tools. Perfect for users with basic Designer Desktop skills—learn shortcuts, precision hacks, and automation tricks to refine projects faster. Leave new techniques in your skillset to maximize your data analytics creativity and efficiency.","A licensed copy of Alteryx Designer is required 

A basic understanding of Designer is required",,"0"
"Education Office Hours - 1 Month","2","Working Session","User Expertise","Trainer","Delivery of four, 1-hour sessions delivered over 4 weeks.  Topics are determined by the customer, with our team's recommendation.",,"N/A","They are drop in, and the team is not expected to plan ahead of time.","0"
"Education Office Hours - 1 Year","25","Working Session","User Expertise","Trainer","Delivery of 52, 1-hour sessions delivered over 1 year.  Topics are determined by the customer, with our team's recommendation.",,"N/A",,"0"
"Expert Workflow Optimization","40","Working Session","Value Realization","Analytics Consultant","This engagement extends beyond single workflow tuning to include multiple advanced workflows, integrating predictive, automation, and advanced analytics components.","Delivery Includes: Discovery and Scoping of up to 5 advanced or enterprise workflows; Advanced Workflow Analysis using Intelligence Suite, Machine Learning, Analytic Apps, APIs and Data Automation Tools, Spatial, Predictive, and In-Database tools; Optimization •	Optimization of up to 5 advanced workflows using:
o	Intelligence Suite, Machine Learning, Predictive, and In-Database tools
o	Analytic Apps, APIs, and automation components
o	All tools covered under Core and Advanced Optimization engagements
•	Collaborative working sessions and enablement workshops
•	Comprehensive documentation and recommendations for ongoing improvements","Requirements gathering pre-work session with CSM or Consultant to define needed workflow change prior to working sessions","•	Development of new workflows or end-to-end re-engineering of legacy systems
•	Nested macro development or macro architecture redesign
•	Integration with non-Alteryx or unsupported third-party systems
•	Ongoing managed services or performance monitoring post-engagement
Nested macro development or macro architecture redesign
Integration with non-Alteryx or unsupported third-party systems
Ongoing managed services or performance monitoring post-engagement","0"
"Explore Data Quality and Scope with Data Investigation Tools","2","Course","User Growth","Trainer","Explore the data quality and scope of a dataset using the Field Summary, Frequency Table, Histogram, and Distribution Analysis tools.","In this course, you will explore data quality and scope using Data Investigation tools. These tools will help you assess data cleanliness and analyze frequency and distribution, providing insights into the shape and characteristics of your data and guiding you in choosing the best approaches and tools for your analysis.  

You will develop the skills to identify what is significant, detect issues like outliers and null values, analyze how data is distributed within fields, and determine whether the data is ready for use in future predictive models.","A licensed copy of Alteryx Designer is required.",,"0"
"Explore Data Relationship with Data Investigation Tools","2","Course","User Growth","Trainer","Use the Data Investigation tools to uncover and account for relationships and associations to determine which data elements are suitable for predictive modeling.","In this course, you will explore key data relationships—correlation, collinearity, and association—to uncover patterns and influences within your dataset. By using the Data Investigation tools, you will learn how variables interact, identify redundancies, and recognize meaningful connections. These relationship types can determine how you set up a predictive model, and how to best work with your data in other analyses.","A licensed copy of Alteryx Designer with the Data Investigation tool palette enabled.

General Alteryx knowledge and proficiency in data preparation, transformation, and manipulation is essential.

Completion of the Explore Data Quality and Scope with Data Investigation Tools course is recommended.",,"0"
"Gather Insights from PDFs with CV Tools","2","Course","User Growth","Trainer","Build a workflow using Computer Vision tools to automate the extraction of information from PDFs.","Join this hands-on course to discover how Computer Vision tools can help you extract and analyze information out of PDFs efficiently. Designer Core certification is recommended, and Intelligence Suite installation is required.","A licensed copy of Alteryx Designer.

Alteryx Intelligence Suite Installation.",,"0"
"Get Started with Alteryx Designer","2","Course","User Growth","Trainer","Navigate the Alteryx Designer user interface. 

Locate Alteryx resources and Help documentation. 

Build your first Designer workflow.","In this course, you learn how to navigate the Designer user interface, locate essential resources, and build your first workflow to solve some common data challenges. If you are just starting your journey with Alteryx, this course will set you up for success.","A licensed copy of Alteryx Designer.

An Alteryx Community account is required.",,"0"
"Get Started with Alteryx Server","2","Course","User Growth","Trainer","Navigate the Server user interface. 

Organize, run, and schedule workflows in Server.","Discover the power of Alteryx Server to automate your processes. In this course, which includes a demonstration, you will learn how to navigate the Server user interface and how to organize, run, and schedule workflows in Server. This course does not include hands-on activities.","A license of Alteryx Server is recommended.",,"0"
"Get Started with Auto Insights","2","Course","User Growth","Trainer","Create your first Mission using Auto Insights. 

Generate a PowerPoint presentation using Magic Documents.","Say goodbye to static dashboards that only answer half your questions. With Alteryx Auto Insights, uncover clear, trustworthy explanations of your data to make informed decisions. Learn how to personalize your data story, leverage machine learning to surface key patterns, and understand the ""why"" behind your results. This introductory course will walk you through the core features of Auto Insights, helping you transform raw data into actionable business insights.","A licensed copy of Alteryx Auto Insights is required.",,"0"
"Get Started with Data Connection Manager","2","Course","User Growth","Trainer","Define the key benefits of using DCM. 

Identify different ways to set up and configure DCM for Alteryx Designer and Server. 

Identify how to share connections to collaborate in Server environments.","This course teaches the foundational concepts of data connection management in Alteryx Designer and Server. During this course, you will learn about the key benefits of using Data Connection Manager (DCM), how to set up and configure DCM in Designer and Server, and how to share connections to collaborate in Server environments.","Knowledge of how to set up connections to databases or other data sources is recommended.

Knowledge of Alteryx Server Gallery is recommended.",,"0"
"Get Started with Designer Cloud","2","Course","User Growth","Trainer","Navigate the Designer Cloud interface. 

Read in data and build your first workflow. 

Use the Interactive Results Grid for faster, guided data transformation powered by AI.","Modernize and elevate your data skills with Alteryx Designer Cloud! This beginner-friendly course gives you hands-on practice building an efficient workflow that connects seamlessly to files uploaded to Alteryx Analytics Cloud. Discover how to prep, blend, and automate your Designer Cloud workflows in a transparent, repeatable way.","A licensed copy of Designer Cloud.",,"0"
"Governance Assessment","1","Report","Governance","Analytics Consultant","Compare client situation to industry best-practices of managing Alteryx platform within potentially sensitive buisness units; will serve as key input to the success plan; defines work to be performed to improve analytic governance","A virtual customer Q&A gathering data on the customer environment, workflow risk, policies & procedures, and other topics such as workflow orphans (no owners). Output includes a PPT governance plan that can be executed by the customer, a partner, or Alteryx consultants","Meeting with all relevant stakeholders","Implementation of governance assessment workplan output; Guidance or assessment outside the 1 hour Q&A session","0"
"Governance Framework for Permissions & Access Controls in Alteryx Server","11","Working Session","Governance","Analytics Consultant","Secure & Compliant Access – Right people, right roles, right environment.

Automated User Lifecycle – Onboarding/offboarding via AD/SSO with no manual intervention.

Clear Ownership – Every shared asset has accountable Business and Technical owners.

Efficient Administration – Reduced manual effort in managing permissions and collections.

Governance Visibility – Regular audits and telemetry provide clear insight into usage and risks.","With SAML + SCIM-Provisioned Group-Based Access Control (GBAC), Alteryx Server automatically syncs users and groups from Entra ID so authentication, role assignment, and collection permissions are centrally managed, consistent, and audit-ready in 1 environment (Recommend PROD)","1 hr planning session with IT Admin to align to scope; SSO (SCIM) configured; Can be configured with or without approvals","Not supporting more than 1 server environment","0"
"Governance Starter Package","10","Working Session","Governance","Analytics Consultant","Delivery of Customer Managed Telemetry, Goverance Assessment, and Server Usage Report","Delivery of Customer Managed Telemetry, Goverance Assessment, and Server Usage Report along with a guided working session to review findings.","See individual entitlements for each Pre-requisite",,"0"
"License Audit","5","Report","Governance",,"The license audit will provide the effective utilization of the licenses and provide growth opportunities to purchase additional user licenses. Customer would have an automated process to reclaim licenses that are no longer used by inactive employees, Replenished computers, Unused licenses given to users.","Workflow testing and knowledge transfer session.","LLM Credentials: Active API account with valid key/token and sufficient usage quota.","Providing Admin rights to Licensing Portal.
Building Workflow using there data.
Cloud liscensing automation currently not familliar enough how the licensing works completely in Cloud or Alteryx one.","0"
"Manipulating Spatial Objects","2","Course","User Growth","Trainer","Use spatial tools to combine, transform, and analyze spatial objects for accurate data insights.","This advanced course explores Alteryx spatial tools for creating, transforming, and analyzing spatial objects. Through hands-on activities and a case study, you will practice combining polygons, performing spatial matches, and finding nearest locations to enhance spatial analysis and decision-making.","A licensed copy of Alteryx Designer.",,"0"
"Master Complex String Data Manipulation with RegEx","2","Course","User Growth","Trainer","Define regular expressions and list their important uses.​ 

Parse and extract targeted information from complex data strings.","Gain expertise and confidence to tackle the most complex string data manipulation tasks. In the hands-on exercises in this course, unlock your ability to parse, extract, and replace targeted information from complex data strings.","A licensed copy of Alteryx Designer.",,"0"
"MongoDB to SQL Migration Workflow Utility","3","Working Session / Install to help configure this workflow and complete the migration. I imagine something similar to the Authentication Change entitlement in this case.","Automation","Solution Architect","Support for migrating MongoDB to SQL DB. During this activity the customer will meet with a member of our PS team who will help them configure the migration workflow, reviews errors and log to confirm a successful migration of their persistence layer.","Customer must meet all prereqs, SB migration test and validation and then schedule production dates","Customer must be on Alteryx Server v. 24.1 and higher. Preparation and Backup:
Schedule Server downtime and take the Alteryx Server offline.
Perform a backup of the existing MongoDB database using the AlteryxService emongodump command.
SQL Server Setup:
Ensure an MSSQL Server instance (e.g., MSSQL Server 2019 or 2022) is hosted and network accessible from your Alteryx Server controllers.
Create a separate SQL database for Alteryx Gallery/Alteryx Service.
Install necessary SQL Server drivers.","SQL Server Setup:
Ensure an MSSQL Server instance (e.g., MSSQL Server 2019 or 2022) is hosted and network accessible from your Alteryx Server controllers.
Create a separate SQL database for Alteryx Gallery/Alteryx Service.
Install necessary SQL Server drivers.

Any other product limitation and SQL troubleshooting aspects we should not include. Worth reviewing this section in detail as a team.","0"
"One training subscription","3","Online","User Growth","N/A","One year of access to Alteryx's online training live calendar and on-demand resources.",,"N/A",,"0"
"Preparing Data and Writing Expressions","2","Course","User Growth","Trainer","Cleanse and prepare imperfect data for use in downstream analysis. 

Write expressions in the Formula tool.","Start your journey to clean and prepare data with Alteryx Designer! This beginner-friendly course introduces you to essential data preparation tools and the power of Designer’s expression editor. You will learn how to calculate, filter, sample, and sort data with ease, setting the stage for seamless downstream analysis. If you are new to Designer, this course is the perfect way to build a strong foundation for your data workflows.  

Note: This content overlaps with the Designer Desktop Foundations course, so choose the course that best fits your learning goals.","A licensed copy of Alteryx Designer.",,"0"
"Reshape Your Data with Parse and Transform Tools","2","Course","User Growth","Trainer","Parse data to rows and columns with delimiters. 

Pivot the orientation of data to better suit your analysis. 

Summarize data to answer business questions.","Unlock the full potential of your data with Alteryx Designer! Dive into transformation techniques to parse datasets into columns, pivot data, and summarize key metrics. Learn how to reshape and enrich your data to uncover valuable insights and answer critical business questions. If you are ready to go beyond the basics, this course builds on foundational skills (including some overlap with the Translate Excel Processes to Designer Desktop course) to help you master powerful data transformation tools.","A licensed copy of Alteryx Designer",,"0"
"Sandbox Server Setup","4","Install","Architecture & Integration","Solution Architect","A fully configured sandbox environment deployed and accessible to users.","Sandbox environment deployed with appropriate user access and controls. Validation that designer users can access.","Customer must have a licensed sandbox and infrastructure requests approved internally.","Initial draft our outline or workflow promotion process. Separate entitlement.","0"
"Save Time with Batch Macros","2","Course","User Growth","Trainer","Create a macro that streamlines repetitive workflow processes by batching record groups. 

Share a macro with other users.","Are you using numerous Filter tools to run separate processes on different groups of data? Discover how to harness the power of batch macros to group data into batches and process them one at a time. In this course, you will learn when to consider and how to both create and share a batch macro. Having prior knowledge of standard macros is highly recommended to enhance your learning experience in this course.","A licensed copy of Alteryx Designer

Proficiency with the Interface tool palette and creating Macros in Designer",,"0"
"See the Future: Time Series Modeling","2","Course","User Growth","Trainer","Describe the main components of time series analysis. 

Create a time-based model using historical data.","Ever wonder how to anticipate what is next using your data? In this interactive course, you will uncover the secrets of time series analysis and forecasting. Learn how to identify patterns, analyze trends, and predict future behavior based on past observations. Ideal for anyone working with time-based data, this course requires a basic understanding of predictive models and a prior download of the Predictive tools.","A licensed copy of Alteryx Designer

Predictive tools installation",,"0"
"Server Authentication Type Change","6","Working Session","Architecture & Integration","Analytics Consultant","2 working sessions and a report; Changes made to 1 non-production and 1 production environment; Review of customer’s current Alteryx deployment and assessment of suitability to change the underlying user authentication mechanism on Alteryx Server. Only able to change from Windows Auth to SAML. Professional Services will work with Customer to run a series of scripted changes that will allow for the change","Applies to 1 non-production and 1 production environment. Working sessions with Customer to understand current environment(s).
Working session to make the changes and test for validation in both environments.
Provide a report outlining the results of the authentication type change.","Successfully installed/deployed environments. Technical team members with both access to and knowledge of the deployment. 
Completed Project Requirements Document.","While a successful change is likely, every Customer environment is different, and Professional Services cannot guarantee success.  If an upgrade is deemed unsuccessful, Customer will rollback to last stable state with Windows Authentication to remain in supported status per software Terms & Conditions.","0"
"Server MongoDB to SQL Server Conversion","6","Working Session","Architecture & Integration","Analytics Consultant","Review of customer’s current Alteryx deployment and assessment of suitability to change the underlying database from MongoDB to SQL Server.

Professional Services will work with Customer to run a series of scripted changes that will migrate their existing environment into a SQL Server instance","Working session with Customer to understand current environment(s) 
Working session to make the changes and test for validation
Provide a report outlining the results of the authentication type change 
Entitlement good for one (1) Alteryx Server deployment.","Successfully installed/deployed Server environment. 
Successfully installed/deployed SQL Server environment with appropriate permissions
Technical team members with both access to and knowledge of the deployment. 
Required data related to the environment and usage must be available and able to be provided.","Alteryx will guide Customer through the database conversion, but will not address or debug unrelated issues
This entitlement does not include additional custom configuration.  This does not include unsupported environment versions and configuration.  No high availability deployments.","0"
"Server Upgrade Assistance","5","Working Session","Value Realization","Analytics Consultant","This engagement provides hands-on, tailored assistance to help customers plan, execute, and validate an Alteryx Server upgrade with minimal risk and disruption. It is designed for environments where upgrades are complex or local technical enablement is limited, ensuring a smooth transition to the target Server version and a stable post-upgrade state.","Phases of Delivery: Upgrade Readiness and Planning, Pre-Upgrade Preperation, Upgrade Execution Support, Post Upgrade Validation and Stabilization","•	Customer owns a valid Alteryx Server license and upgrade entitlement
•	Target Server version has been identified and approved
•	Customer provides access to the Server environment (Admin access as appropriate)
•	System backups and rollback strategy are available and customer-approved
•	Required infrastructure dependencies (OS, database, authentication) meet target version requirements
•	Customer technical stakeholders are available during planning and upgrade windows",,"0"
"Server Usage Report Enterprise Utility","5","Working Session","Governance","Technical Account Manager","Services support to migrate the Customer’s environment to a SQL Server instance using scripted changes.","Technical Consultant will walk the Customer through the steps to configure and deploy the Server Usage Report Enterprise Utility. 
Each environment (sandbox, dev, production, etc.) where optimization is requested is counted as an entitlement. 
Connect Data output to Tableau/PowerBI Dashboard so customer can see the output of the data.","Successfully installed/deployed Server environment. 
Alignment of Technical team members with access to Server environment.
Have Server ""user"" login information for Embedded Mongo, Login Credentials for User Managed Mongo and My SQL
Server API enabled with Key and Secret.
Have Admin access to the computer running the SUR to set up System DSN connections.","Any hands-on activities performed by Alteryx resources, resolution of related Support tickets related to issues uncovered or directly related to product or product functionality. 
This will not cover anything related to workflow analysis or development.","0"
"Server/Environment Health Check","1","Report","Governance","Analytics Consultant","Server Health Check Report","Technical Consultant will run the environment health check script and then will review, recommend, and guide recommended system changes within the selected environment. 
Each environment (sandbox, dev, production, etc.) where optimization is requested is counted as an entitlement.","Successfully installed/deployed Server environment. 
Alignment of Technical team members with access to Server environment.","Any hands-on activities performed by Alteryx resources, resolution of related Support tickets related to issues uncovered or directly related to product or product functionality. 
This will not cover anything related to workflow analysis or development.","0"
"Server/Environment Optimization","3","Working Session","Governance","Analytics Consultant","Review of current performance and configuration and guidance for updating 1 environment (Sandbox, DEV, PROD counted individually)","Review current performance and configuration and (if suitable in the allotted time) help implement guidance provided. 

This environment will be reviewed in line with Alteryx best practices. 

Each environment (Sandbox, DEV, PROD) where optimization is requested is counted as an entitlement.","Successfully installed/deployed Server or AACP environment. Technical team members with knowledge of the deployment. 

Each environment (Sandbox, DEV, PROD) where optimization is requested is counted as an entitlement.","Technical Consultant will not perform any actions on behalf of the customer, resolution of related Support tickets related to issues uncovered or directly related to product or product functionality. 

This will not cover changes to the environment overall setup such as HA or different authentication methods and will only cover what is already in place. 

This will not cover anything related to workflow analysis or development.","0"
"Services Consulting Office Hours - 1 Month","2","Working Session","Value Realization","Analytics Consultant","Delivery of four, 1-hour sessions delivered over 4 weeks.  Topics are determined by the customer, with our team's recommendation.","Consultant will provide ad-hoc support of desired customer topics, including demonstrations, guided walk-throughs, and question/answer sessions. Following the Office Hour sessions, the consultant will provide a written summary of topics addressed with any follow-up resources needed.","Customer communicates desired topics or issues to Services team 3 days prior to Office hours scheduled engagement","Hands-on fixing of servers, workflows, or installation needs. These are NOT formal training sessions, those can be requested via Education Office Hours.","0"
"Services Consulting Office Hours - 1 Year","25","Working Session","Value Realization","Analytics Consultant","Delivery of 52, 1-hour sessions delivered over 1 year.  Topics are determined by the customer, with our team's recommendation.","Consultant will provide ad-hoc support of desired customer topics, including demonstrations, guided walk-throughs, and question/answer sessions. Following the Office Hour sessions, the consultant will provide a written summary of topics addressed with any follow-up resources needed.","Customer communicates desired topics or issues to Services team 3 days prior to Office hours scheduled engagement","Hands-on fixing of servers, workflows, or installation needs. These are NOT formal training sessions, those can be requested via Education Office Hours.","0"
"Services Consulting Office Hours - 2 sessions","1","Working Session","Value Realization","Analytics Consultant","Customer receives two, 90 min working sessions with a Professional Services Consultant","Consultant will provide ad-hoc support of desired customer topics, including demonstrations, guided walk-throughs, and question/answer sessions. Following the Office Hour sessions, the consultant will provide a written summary of topics addressed with any follow-up resources needed.","Customer communicates desired topics or issues to Services team 3 days prior to Office hours scheduled engagement","Hands-on fixing of servers, workflows, or installation needs. These are NOT formal training sessions, those can be requested via Education Office Hours.","0"
"Services Consulting Office Hours - Extended Session","2","Working Session","Value Realization","Analytics Consultant","1/2 day (4 hours) deep dive working session for complex problems","Consultant will provide ad-hoc support of desired customer topics, including demonstrations, guided walk-throughs, and question/answer sessions. Following the Office Hour sessions, the consultant will provide a written summary of topics addressed with any follow-up resources needed.","Customer communicates desired topics or issues to Services team 3 days prior to Office hours scheduled engagement","Hands-on fixing of servers, workflows, or installation needs. These are NOT formal training sessions, those can be requested via Education Office Hours.","0"
"Solution Architect Advisory Office Hours","2","Working Session","Value Realization","Solution Architect","2 hour working session with the customer and up to 6 hours of SA working / testing time; Documented advisory in closing session","Research/knowledge of one additional system, 2 working sessions, and 1 testing envmt. To get to outcome of working Server (no matter how it's stood up) OR connection (that's heavily reliant upon network/IDP settings).","Customer must be working with multiple systems (like IDP), or on a component of the system that pertains to architecture such as migration of database/persistence layer, rehydration of database, failover configuration, or automation of service start up.","Connection set up","0"
"Text Mining and Sentiment Analysis in AIS","2","Course","User Growth","Trainer","Use text mining tools to uncover themes, sentiments, and key insights from unstructured data.","Qualitative data is often overlooked in the world of numerical analysis. This course covers the fundamentals of working with unstructured text data, helping you identify patterns like trends, sentiments, and key topics. It is ideal if you want to perform analysis on customer feedback, reviews, surveys, or other text-based data, and you have little experience in natural language processing and text mining. A solid foundation in Designer Desktop is required.","A licensed copy of Alteryx Designer

Alteryx Intelligence Suite Installation",,"0"
"The Favorites Tools","2","Course","User Growth","Trainer","Build a workflow that includes tools from the Favorites category in Alteryx Designer.","The Favorites Tools Workshop is a hands-on session designed to help you master the most commonly used tools in Alteryx Designer. Through practical exercises, you will prepare, join, and analyze data to solve real-world business scenarios. Guided by your instructor, you’ll build a workflow from scratch using only the Favorites category, gaining confidence in the core building blocks of Alteryx.","A licensed copy of Alteryx Designer.",,"0"
"Training Consultation","1","Working Session","Value Realization","Trainer","A one-hour training consultation; conditionally, a training plan that meets the customer's strategic goals.","Consultation only. If the customer is receiving this entitlement as part of purchasing other training services, a training plan will be developed.","Tokenized entitlements","Delivery of any actual training content.","0"
"Translate Excel Processes to Designer Cloud","2","Course","User Growth","Trainer","Transfer common, manual processes from Microsoft Excel to a Designer Cloud workflow.","Ready to move your Excel files into the Cloud? In this intermediate course, discover how to translate your most-used Excel functions into automated, repeatable workflows in Designer Cloud. Replace tedious data refreshes and manipulations with visual, auditable processes that save you time and effort. This hands-on course will show you how to revolutionize your approach to cloud data analysis! A basic understanding of Designer Cloud is required.","A licensed copy of Designer Cloud

A basic understanding of Designer Cloud",,"0"
"Translate Excel Processes to Designer Desktop","2","Course","User Growth","Trainer","Transfer common, manual processes from Microsoft Excel to an automation-ready Designer Desktop workflow.","Ready to break free from the manual grind of Excel? In this intermediate course, discover how to translate your most-used Excel functions into automated, repeatable workflows in Alteryx Designer Desktop. Replace tedious data refreshes and manipulations with visual, auditable processes that save you time and effort. A basic understanding of Designer is required.","A licensed copy of Alteryx Designer is required.

A basic understanding of Designer is required.",,"0"
"Unlock Location-Based Insights with Spatial Analytics","2","Course","User Growth","Trainer","Analyze spatial data to determine locations, routes, and areas on a map. 

Construct a trade area using spatial data.","Join this introductory course and learn how to use Spatial tools to build a workflow that gives insights into geospatial information.","A licensed copy of Alteryx Designer is required

A basic understanding of Designer is required",,"0"
"Upgrade Advisory","2","Working Session","Governance","Analytics Consultant","Summary of upgrade path and supporting technical documentation"," Provide strategic how-to guidance to prepare server environment admin teams to upgrade Alteryx Software
 Limited assistance on a call with customer teams executing the Alteryx software upgrade
 Validation of upgrade","Successfully installed/deployed Server environment. 
Technical team members with knowledge and access to Server environment.
Customer has obtained the compatible Marketplace tools.","Alteryx will not perform the upgrade on behalf of the customer. 
Does not cover more than one Alteryx Server environment. 
No extended PS support beyond upgrade execution. 
Unscheduled and weekend on-call support.","0"
"Use Case Working Sessions","4","Working Session","Value Realization","Analytics Consultant","Summary of progress, build, and best practices for Customer’s next steps
For more complex workflow, customer may choose to continue work with a custom scoped Professional Services engagement","Working sessions to assist the Customer to develop a new Alteryx workflow from a Customer Use Case Workshop template. 
This entitlement will have 3 working sessions along with initial data discovery for a medium complexity workflow.
This workflow will be developed in line with Alteryx workflow best practices.","Completion of Use Case Workshop template. Use Case to develop into an Alteryx workflow, along with availability of the person or business unit that owns the Use Case.  
Customer completion of Customer Use Case Workshop template.","Workflow does not include any machine learning tools or model development","0"
"Workflow and Configuration Best Practices","2","Course","User Growth","Trainer","Efficiently build workflows in Alteryx Designer. 

Improve your workflow’s logic and shareability.","Best practices for new users! Discover settings that improve runtime and performance. Customize your tool palette and navigate Alteryx Designer Desktop with shortcuts. Share the genius of your workflow's logic with proper documentation.","A licensed copy of Alteryx Designer is required.",,"0"
"Workflow Compliance","5","Working Session","Automation","Analytics Consultant","The Alteryx Services team partners with your analytics and IT teams to evaluate existing workflows, identify risks or inefficiencies, and implement compliance-aligned best practices for sustainable, governed analytics at scale.","Delivery includes: Discovery and Assessment, reviewing up to 10 representative workflows; Compliance Framework Definition and mapping of key compliance requirements; Workflow Remediation and Optimization, Enablement and Knowledge Transfer with governance toolkit","Requirements gathering pre-work session with CSM or Consultant to define needed workflow change prior to working sessions","Large scale Workflow Overhaul or Redesign","0"
"Workflow Optimization Advisory Session","2","Working Session","Value Realization","Analytics Consultant","Consultant provides summary of changes and best practices for customer next steps","Working session with the customer for optimization advisory for 1 workflow. 
This is designed to optimize a pre-existing workflow in line with Alteryx workflow best practices. 
Workflows optimization will have 3 working sessions along with initial data discovery session.","Pre-built Alteryx workflow, along with availability of the business user for the working sessions.","Creation of workflows; Any Additional working sessions beyond the allotted 2 use-case working sessions. Completion of optimization in not guaranteed under this entitlement.
For more complex workflow, customer may choose to continue work with a custom scoped Professional Services engagement","0"
"Workflow Promotion Design: Sandbox to Production","3","Working Session","Automation","Solution Architect","Documented workflow promotion framework approved by stakeholders. Defined roles and responsibilities for development, review and promotion.","Alteryx Services partners with technical and business stakeholders to assess the current state, define promotion standards, and document a workflow promotion framework that aligns with enterprise governance and operational best practices.
The result is a shared, approved process that improves reliability, auditability, and confidence in production analytics.","A sandbox or test environment in place.
Defined production environment or workspace (Server or AACP).
Availability of analytics, platform, and governance stakeholders.
Existing workflows using Alteryx Favorites (Core) tools.","Hands-on implementation of promotion automation.
Workflow redevelopment or optimization.
Use of advanced or non-Core tools (Predictive, Intelligence Suite, Python/R).
Execution of promotions or environment changes","0"
